Manganese concentration / (weight%),Chromium concentration / (weight%),Current / A,Vanadium concentration / (weight%),Voltage / V,weld_MMA,Post weld heat treatment temperature / °C,Niobium concentration / parts per million by weight,AC or DC,weld_SA,Nitrogen concentration / parts per million by weight,Electrode positive or negative,Phosphorus concentration / (weight%),Carbon concentration / (weight%),Sulphur concentration / (weight%),Yield strength / MPa,Heat input / kJmm-1,Molybdenum concentration / (weight%)
0.65,2.972735310001693,170.0,0.036598025171814604,21.0,1,250.0,257.21884022272,1,0,197.2645136129634,1.0,0.012,0.037,0.008,392.0,1.0,0.3695463892901917
0.65,-1.117494079750375,170.0,-0.03674545214997801,21.0,1,0.0,41.67754786891253,1,0,-40.700051428154,1.0,0.012,0.037,0.008,,1.0,-0.09394958638576006
0.65,2.0324437929029933,170.0,0.020715658714960537,21.0,1,580.0,161.5459672091804,1,0,87.40965782716893,1.0,0.012,0.037,0.008,370.0,1.0,0.8691322406630262
1.03,-0.4423322459344564,170.0,-0.05063074737105573,21.0,1,250.0,65.15258195478518,1,0,83.8980817338143,1.0,0.014,0.037,0.007,413.0,1.0,0.17278516554552353
1.03,2.4235381691244,170.0,-0.00805389001459578,21.0,1,0.0,632.6756259868824,1,0,88.26608799764674,1.0,0.014,0.037,0.007,,1.0,-0.28949810442944773
1.03,5.141558673731585,170.0,0.08481088391050029,21.0,1,580.0,576.7326577551843,1,0,224.5227720642582,1.0,0.014,0.037,0.007,402.0,1.0,0.4715904637634499
1.43,2.473303948979418,170.0,-0.037184979086780784,21.0,1,250.0,140.9317472587299,1,0,121.98536679052724,1.0,0.014,0.044,0.007,468.0,1.0,0.6083375359971004
1.43,2.749492281231103,170.0,-0.04930248045228544,21.0,1,0.0,296.3260216072629,1,0,167.78908120015393,1.0,0.014,0.044,0.007,,1.0,-0.04070336452940915
1.43,0.7094716140470749,170.0,0.07216895309005121,21.0,1,580.0,-510.25284014285603,1,0,76.96365542866549,1.0,0.014,0.044,0.007,436.0,1.0,-0.036924667408722245
1.85,2.3673776062289633,170.0,0.0006240130344762895,21.0,1,250.0,189.15085906413293,1,0,196.03244143088827,1.0,0.016,0.045,0.007,514.0,1.0,0.5069947438697568
1.85,2.0653720922218923,170.0,-0.04746045231125519,21.0,1,0.0,61.24462957204827,1,0,188.18869639743102,1.0,0.016,0.045,0.007,,1.0,0.11554338432070616
1.85,2.246942489832404,170.0,0.028802825312924142,21.0,1,580.0,277.9034209488235,1,0,119.29497191265133,1.0,0.016,0.045,0.007,479.0,1.0,0.6996940874630875
0.66,-2.1090346912417073,170.0,-0.11177495713383638,21.0,1,250.0,-161.22546784845363,1,0,126.34478918670595,1.0,0.011,0.039,0.006,411.0,1.0,0.1830769502999569
0.66,6.8141711387649755,170.0,0.05425302809270924,21.0,1,580.0,599.1606885378927,1,0,253.31537629218178,1.0,0.011,0.039,0.006,401.0,1.0,1.4441705775132876
1.01,-1.9717850730715931,170.0,-0.12546239778838503,21.0,1,250.0,-104.64285888603911,1,0,148.8127563819714,1.0,0.011,0.041,0.006,464.0,1.0,0.00839782521940996
1.01,-1.773233378842205,170.0,-0.06839415225550827,21.0,1,0.0,226.91854505264237,1,0,-49.514660888829106,1.0,0.011,0.041,0.006,,1.0,-0.1645613608197897
1.01,4.020004686800602,170.0,0.021215566659484424,21.0,1,580.0,295.23107539480316,1,0,266.81955840228267,1.0,0.011,0.041,0.006,426.0,1.0,0.7656222607572258
1.4,4.353335032376547,170.0,0.050898760281319115,21.0,1,250.0,516.6888159135104,1,0,163.31732099364532,1.0,0.014,0.051,0.007,509.0,1.0,-0.24417934362353566
1.4,-0.7452861588834849,170.0,-0.08928115925305168,21.0,1,580.0,70.86649498008353,1,0,124.24517035089822,1.0,0.014,0.051,0.007,450.0,1.0,0.460347769925874
1.85,0.5753623673213841,170.0,-0.1069094715717087,21.0,1,250.0,461.77060075910424,1,0,106.9207914793027,1.0,0.014,0.049,0.006,547.0,1.0,0.35037331540337013
1.85,1.2295039735139952,170.0,0.03167711418743169,21.0,1,0.0,297.693807677659,1,0,193.1305474899675,1.0,0.014,0.049,0.006,,1.0,-0.0657732214739705
1.85,5.0162303871166225,170.0,0.12038155056452218,21.0,1,580.0,466.2251805303333,1,0,232.28114795791652,1.0,0.014,0.049,0.006,526.0,1.0,1.0248756397984145
0.63,-2.197506025259874,170.0,-0.05866390805333744,21.0,1,250.0,-155.86539027319884,1,0,49.490482137731135,1.0,0.012,0.038,0.007,423.0,1.0,0.26504320391734604
0.63,-0.5498800105860521,170.0,-0.15748771422288776,21.0,1,0.0,79.56753629846783,1,0,81.91345905391778,1.0,0.012,0.038,0.007,,1.0,0.14116496778058646
0.63,2.09073324396382,170.0,0.009279607311363583,21.0,1,580.0,87.88084547121711,1,0,109.12775232463217,1.0,0.012,0.038,0.007,411.0,1.0,0.9639102242641124
1.0,1.7203911852290692,170.0,0.05685894772943161,21.0,1,250.0,-179.82301424321855,1,0,62.44854085319104,1.0,0.013,0.043,0.006,475.0,1.0,0.3791722805345004
1.0,5.841578072800939,170.0,0.010598128677570942,21.0,1,0.0,549.5883457682991,1,0,140.5075443906877,1.0,0.013,0.043,0.006,,1.0,0.23638313595206326
1.0,4.0158336583855885,170.0,0.12929092899401606,21.0,1,580.0,164.4540673535302,1,0,107.44650529837357,1.0,0.013,0.043,0.006,443.0,1.0,0.9004439216456368
1.37,-3.314933742110136,170.0,-0.06985356954138461,21.0,1,250.0,-166.73874746196827,1,0,46.975479569429964,1.0,0.013,0.049,0.007,498.0,1.0,0.06553426464160322
1.37,2.6844765449959125,170.0,0.05506941603567797,21.0,1,0.0,157.22410235030227,1,0,93.16627301068579,1.0,0.013,0.049,0.007,,1.0,0.15208282644032703
1.37,2.5701570952342716,170.0,0.05430568192822881,21.0,1,580.0,51.9348617498747,1,0,88.93262433760258,1.0,0.013,0.049,0.007,470.0,1.0,0.38343655265703736
1.83,1.658122872733877,170.0,-0.0019103072418737918,21.0,1,250.0,-85.27558375826254,1,0,131.42038536895492,1.0,0.012,0.053,0.007,566.0,1.0,0.42960796355140196
1.83,4.300464842290834,170.0,-0.004258702847772595,21.0,1,0.0,292.2037373233353,1,0,205.63765563061742,1.0,0.012,0.053,0.007,,1.0,-0.14321058493846173
1.83,5.2783484950875845,170.0,0.10724640032319047,21.0,1,580.0,136.8050496530355,1,0,268.31356567759127,1.0,0.012,0.053,0.007,521.0,1.0,0.665390775730479
0.62,3.2870001142682512,170.0,0.0479066116756827,21.0,1,250.0,305.14803733736693,1,0,146.03765496020114,1.0,0.01,0.041,0.007,466.0,1.0,0.17005487992451407
0.62,-2.645435936625888,170.0,-0.18273773784083142,21.0,1,0.0,-398.17798362682015,1,0,96.11688681864649,1.0,0.01,0.041,0.007,,1.0,0.20885226138275464
0.62,5.1701158706048895,170.0,0.10230529861018947,21.0,1,580.0,640.5161835415784,1,0,166.0714593359195,1.0,0.01,0.041,0.007,431.0,1.0,1.3646526331213282
0.96,0.6390249329115438,170.0,-0.02941618403649223,21.0,1,250.0,444.8923743724167,1,0,134.45902718188972,1.0,0.013,0.044,0.006,489.0,1.0,0.39091224670810854
0.96,-2.5181064607714054,170.0,-0.07963835685857489,21.0,1,0.0,-134.16905391026086,1,0,61.92636199152797,1.0,0.013,0.044,0.006,,1.0,-0.03848997130456305
0.96,0.1271237450150532,170.0,-0.06605218839844126,21.0,1,580.0,-49.72293325396909,1,0,83.08571480809286,1.0,0.013,0.044,0.006,481.0,1.0,0.6175238124992067
1.41,-2.427964447285273,170.0,-0.005090299395547879,21.0,1,250.0,-274.0876632800811,1,0,143.5591993059424,1.0,0.014,0.049,0.007,567.0,1.0,0.0859389192966401
1.41,-0.8005555620279063,170.0,-0.07746330315421839,21.0,1,0.0,296.56566138798553,1,0,172.49851013612832,1.0,0.014,0.049,0.007,,1.0,-0.25957270299773244
1.41,0.5730320656132757,170.0,0.08563473219521404,21.0,1,580.0,105.2758040403171,1,0,7.086502335316524,1.0,0.014,0.049,0.007,530.0,1.0,0.3850570765788355
1.81,1.1180517647300638,170.0,0.03417754430309737,21.0,1,250.0,198.7538351802006,1,0,158.2916472724401,1.0,0.015,0.046,0.007,621.0,1.0,0.21338572896647362
1.81,2.187609116960573,170.0,-0.046580809891087004,21.0,1,0.0,450.31537407366113,1,0,132.3730557130222,1.0,0.015,0.046,0.007,,1.0,0.21779520059962548
1.81,3.055031315798682,170.0,-0.009644037085504,21.0,1,580.0,484.463296953376,1,0,231.96956700619663,1.0,0.015,0.046,0.007,574.0,1.0,0.4953617143838143
0.65,-3.8035213975708935,170.0,-0.04898678527627752,21.0,1,250.0,5.551680902971185,1,0,-48.76303018191655,1.0,0.011,0.037,0.009,479.0,1.0,0.09466804616605808
0.65,-2.293578542092204,170.0,-0.06803856385268858,21.0,1,0.0,88.00230235805222,1,0,-6.506283125732505,1.0,0.011,0.037,0.009,,1.0,0.30745996052218705
0.65,3.4039372496345095,170.0,-0.075660457625712,21.0,1,580.0,493.9243096149968,1,0,289.28714511881327,1.0,0.011,0.037,0.009,482.0,1.0,0.7738184471962015
0.98,-2.0195304147567965,170.0,0.0020937488906091206,21.0,1,250.0,142.47299403261317,1,0,-38.47444278024841,1.0,0.012,0.041,0.008,525.0,1.0,0.0416287178802921
0.98,-1.5201005368364287,170.0,-0.10584830143530614,21.0,1,0.0,-36.71765555573768,1,0,111.37451084306325,1.0,0.012,0.041,0.008,,1.0,-0.11084890094216009
0.98,5.768262334596153,170.0,0.06415961690142476,21.0,1,580.0,748.3061787403462,1,0,226.2043690818151,1.0,0.012,0.041,0.008,521.0,1.0,0.8482178969571545
1.4,2.058137782653652,170.0,0.010132924752531152,21.0,1,250.0,294.4772858065703,1,0,96.47367942917795,1.0,0.013,0.048,0.007,621.0,1.0,0.22176005680460348
1.4,0.3523832415431558,170.0,0.004240584632066627,21.0,1,0.0,46.83898799531453,1,0,0.36981951272175806,1.0,0.013,0.048,0.007,,1.0,-0.335921065859818
1.4,3.7348225030501334,170.0,0.005540759083873498,21.0,1,580.0,268.49538531419387,1,0,242.979034134114,1.0,0.013,0.048,0.007,584.0,1.0,0.7870844751694982
1.79,1.7987423283152566,170.0,0.012655670910578065,21.0,1,250.0,262.4942719668485,1,0,85.48562746436656,1.0,0.013,0.051,0.007,692.0,1.0,0.5622566980167278
1.79,2.362240659500065,170.0,-0.02456784685516765,21.0,1,0.0,170.06317775254655,1,0,85.11089666008101,1.0,0.013,0.051,0.007,,1.0,-0.16247844764636155
1.79,3.074858231404123,170.0,0.07699867626256698,21.0,1,580.0,397.29123479447867,1,0,142.07100584830536,1.0,0.013,0.051,0.007,662.0,1.0,0.2239433703683814
1.51,-1.21707000359285,170.0,0.01018718926299196,21.0,1,0.0,-166.08438584134376,1,0,23.89116907751316,1.0,0.011,0.074,0.008,484.0,1.0,-0.004411607827746675
1.51,1.5127221934147008,170.0,0.04527087722830144,21.0,1,580.0,359.3229809929544,1,0,44.021566608494,1.0,0.011,0.074,0.008,471.0,1.0,0.42829249147713394
1.48,4.467779346490694,170.0,0.07548928100971751,21.0,1,0.0,287.96970410021925,1,0,209.19587675662348,1.0,0.006,0.075,0.007,502.0,1.0,-0.009222490081992028
1.48,0.7117592390945635,170.0,0.022798159063689476,21.0,1,580.0,-74.24483865047344,1,0,179.65398877261995,1.0,0.006,0.075,0.007,462.0,1.0,0.7494330047031663
1.42,-0.024040485688076263,170.0,-0.03177337585369988,21.0,1,0.0,292.4079445309734,1,0,134.90088124348577,1.0,0.007,0.074,0.008,488.0,1.0,-0.20578809661683123
1.42,1.6836728092600053,170.0,0.19896725429628154,21.0,1,580.0,40.908600797674396,1,0,208.43242989652597,1.0,0.007,0.074,0.008,453.0,1.0,1.0042052321248085
1.48,-1.3774025883419858,170.0,-0.027662609510723017,21.0,1,0.0,182.72712799508776,1,0,25.78416495269873,1.0,0.006,0.076,0.007,504.0,1.0,-0.07129485223719453
1.48,5.016161018231333,170.0,0.21717085734949326,21.0,1,580.0,278.20272055359726,1,0,284.5110367556982,1.0,0.006,0.076,0.007,482.0,1.0,0.6394647467248677
1.49,0.620880277120536,170.0,0.04158933965344331,21.0,1,0.0,383.5928223508559,1,0,22.016803024534532,1.0,0.006,0.068,0.006,513.0,1.0,0.2874513187690714
1.49,4.443912980503937,170.0,0.028414086634571616,21.0,1,580.0,186.16260755953533,1,0,171.5495965603979,1.0,0.006,0.068,0.006,499.0,1.0,0.3276236281334269
